custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-Q02-l-s0,claude-sonnet-4-6,Q02,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q02-l-s1,claude-sonnet-4-6,Q02,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,59,4,0.000118,B
r1-m0-Q02-l-s2,claude-sonnet-4-6,Q02,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q02-l-s3,claude-sonnet-4-6,Q02,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,59,4,0.000118,B
r1-m0-Q02-u-s0,claude-sonnet-4-6,Q02,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,44,4,9.6e-05,A
r1-m0-Q02-u-s1,claude-sonnet-4-6,Q02,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q02-u-s2,claude-sonnet-4-6,Q02,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,44,4,9.6e-05,A
r1-m0-Q02-u-s3,claude-sonnet-4-6,Q02,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q04-l-s0,claude-sonnet-4-6,Q04,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,58,4,0.000117,A
r1-m0-Q04-l-s1,claude-sonnet-4-6,Q04,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,58,4,0.000117,B
r1-m0-Q04-l-s2,claude-sonnet-4-6,Q04,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,58,4,0.000117,A
r1-m0-Q04-l-s3,claude-sonnet-4-6,Q04,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,58,4,0.000117,B
r1-m0-Q04-u-s0,claude-sonnet-4-6,Q04,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,43,4,9.5e-05,A
r1-m0-Q04-u-s1,claude-sonnet-4-6,Q04,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,43,4,9.5e-05,B
r1-m0-Q04-u-s2,claude-sonnet-4-6,Q04,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,43,4,9.5e-05,A
r1-m0-Q04-u-s3,claude-sonnet-4-6,Q04,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,43,4,9.5e-05,B
r1-m0-Q05-l-s0,claude-sonnet-4-6,Q05,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,77,4,0.000146,B
r1-m0-Q05-l-s1,claude-sonnet-4-6,Q05,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,77,4,0.000146,B
r1-m0-Q05-l-s2,claude-sonnet-4-6,Q05,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,77,4,0.000146,B
r1-m0-Q05-l-s3,claude-sonnet-4-6,Q05,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,77,4,0.000146,B
r1-m0-Q05-u-s0,claude-sonnet-4-6,Q05,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,62,4,0.000123,B
r1-m0-Q05-u-s1,claude-sonnet-4-6,Q05,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,62,4,0.000123,B
r1-m0-Q05-u-s2,claude-sonnet-4-6,Q05,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,62,4,0.000123,B
r1-m0-Q05-u-s3,claude-sonnet-4-6,Q05,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,62,4,0.000123,B
r1-m0-Q06-l-s0,claude-sonnet-4-6,Q06,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,71,4,0.000137,B
r1-m0-Q06-l-s1,claude-sonnet-4-6,Q06,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,71,4,0.000137,B
r1-m0-Q06-l-s2,claude-sonnet-4-6,Q06,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,71,4,0.000137,B
r1-m0-Q06-l-s3,claude-sonnet-4-6,Q06,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,71,4,0.000137,A
r1-m0-Q06-u-s0,claude-sonnet-4-6,Q06,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,56,4,0.000114,B
r1-m0-Q06-u-s1,claude-sonnet-4-6,Q06,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,56,4,0.000114,A
r1-m0-Q06-u-s2,claude-sonnet-4-6,Q06,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,56,4,0.000114,B
r1-m0-Q06-u-s3,claude-sonnet-4-6,Q06,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,56,4,0.000114,A
r1-m0-Q08-l-s0,claude-sonnet-4-6,Q08,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,58,4,0.000117,A
r1-m0-Q08-l-s1,claude-sonnet-4-6,Q08,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,58,4,0.000117,B
r1-m0-Q08-l-s2,claude-sonnet-4-6,Q08,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,58,4,0.000117,A
r1-m0-Q08-l-s3,claude-sonnet-4-6,Q08,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,58,4,0.000117,B
r1-m0-Q08-u-s0,claude-sonnet-4-6,Q08,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,43,4,9.5e-05,A
r1-m0-Q08-u-s1,claude-sonnet-4-6,Q08,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,43,4,9.5e-05,B
r1-m0-Q08-u-s2,claude-sonnet-4-6,Q08,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,43,4,9.5e-05,A
r1-m0-Q08-u-s3,claude-sonnet-4-6,Q08,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,43,4,9.5e-05,B
r1-m0-Q09-l-s0,claude-sonnet-4-6,Q09,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,61,4,0.000121,A
r1-m0-Q09-l-s1,claude-sonnet-4-6,Q09,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,61,4,0.000121,B
r1-m0-Q09-l-s2,claude-sonnet-4-6,Q09,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,61,4,0.000121,A
r1-m0-Q09-l-s3,claude-sonnet-4-6,Q09,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,61,4,0.000121,B
r1-m0-Q09-u-s0,claude-sonnet-4-6,Q09,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,46,4,9.9e-05,A
r1-m0-Q09-u-s1,claude-sonnet-4-6,Q09,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,46,4,9.9e-05,B
r1-m0-Q09-u-s2,claude-sonnet-4-6,Q09,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,46,4,9.9e-05,A
r1-m0-Q09-u-s3,claude-sonnet-4-6,Q09,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,46,4,9.9e-05,B
r1-m0-Q10-l-s0,claude-sonnet-4-6,Q10,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,53,4,0.00011,A
r1-m0-Q10-l-s1,claude-sonnet-4-6,Q10,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,53,4,0.00011,B
r1-m0-Q10-l-s2,claude-sonnet-4-6,Q10,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,53,4,0.00011,A
r1-m0-Q10-l-s3,claude-sonnet-4-6,Q10,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,53,4,0.00011,B
r1-m0-Q10-u-s0,claude-sonnet-4-6,Q10,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,38,4,8.7e-05,A
r1-m0-Q10-u-s1,claude-sonnet-4-6,Q10,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,38,4,8.7e-05,B
r1-m0-Q10-u-s2,claude-sonnet-4-6,Q10,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,38,4,8.7e-05,A
r1-m0-Q10-u-s3,claude-sonnet-4-6,Q10,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,38,4,8.7e-05,B
r1-m0-Q12-l-s0,claude-sonnet-4-6,Q12,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,60,4,0.00012,B
r1-m0-Q12-l-s1,claude-sonnet-4-6,Q12,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,60,4,0.00012,A
r1-m0-Q12-l-s2,claude-sonnet-4-6,Q12,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,60,4,0.00012,B
r1-m0-Q12-l-s3,claude-sonnet-4-6,Q12,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,60,4,0.00012,A
r1-m0-Q12-u-s0,claude-sonnet-4-6,Q12,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,45,4,9.7e-05,B
r1-m0-Q12-u-s1,claude-sonnet-4-6,Q12,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,45,4,9.7e-05,A
r1-m0-Q12-u-s2,claude-sonnet-4-6,Q12,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,45,4,9.7e-05,B
r1-m0-Q12-u-s3,claude-sonnet-4-6,Q12,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,45,4,9.7e-05,A
r1-m0-Q15-l-s0,claude-sonnet-4-6,Q15,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,60,4,0.00012,A
r1-m0-Q15-l-s1,claude-sonnet-4-6,Q15,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,60,4,0.00012,B
r1-m0-Q15-l-s2,claude-sonnet-4-6,Q15,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,60,4,0.00012,A
r1-m0-Q15-l-s3,claude-sonnet-4-6,Q15,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,60,4,0.00012,B
r1-m0-Q15-u-s0,claude-sonnet-4-6,Q15,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,45,4,9.7e-05,A
