custom_id,model,item,framing,sample,order,condition,initial_choice,flipped,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r2-m0-Q02-l-s0-nr,claude-sonnet-4-6,Q02,labeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,95,4,0.000172,B
r2-m0-Q02-l-s0-wr,claude-sonnet-4-6,Q02,labeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,114,4,0.000201,B
r2-m0-Q02-l-s1-nr,claude-sonnet-4-6,Q02,labeled,1,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,95,4,0.000172,A
r2-m0-Q02-l-s1-wr,claude-sonnet-4-6,Q02,labeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,114,4,0.000201,A
r2-m0-Q02-l-s2-nr,claude-sonnet-4-6,Q02,labeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,95,4,0.000172,B
r2-m0-Q02-l-s2-wr,claude-sonnet-4-6,Q02,labeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,114,4,0.000201,B
r2-m0-Q02-l-s3-nr,claude-sonnet-4-6,Q02,labeled,3,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,95,4,0.000172,A
r2-m0-Q02-l-s3-wr,claude-sonnet-4-6,Q02,labeled,3,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,114,4,0.000201,A
r2-m0-Q02-u-s0-nr,claude-sonnet-4-6,Q02,unlabeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,80,4,0.00015,B
r2-m0-Q02-u-s0-wr,claude-sonnet-4-6,Q02,unlabeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,99,4,0.000179,B
r2-m0-Q02-u-s1-nr,claude-sonnet-4-6,Q02,unlabeled,1,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,80,4,0.00015,A
r2-m0-Q02-u-s1-wr,claude-sonnet-4-6,Q02,unlabeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,99,4,0.000179,A
r2-m0-Q02-u-s2-nr,claude-sonnet-4-6,Q02,unlabeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,80,4,0.00015,B
r2-m0-Q02-u-s2-wr,claude-sonnet-4-6,Q02,unlabeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,99,4,0.000179,B
