custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-Q02-l-s0,claude-sonnet-4-6,Q02,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q02-l-s1,claude-sonnet-4-6,Q02,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,59,4,0.000118,B
r1-m0-Q02-l-s2,claude-sonnet-4-6,Q02,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q02-l-s3,claude-sonnet-4-6,Q02,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,59,4,0.000118,B
r1-m0-Q02-u-s0,claude-sonnet-4-6,Q02,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,44,4,9.6e-05,A
r1-m0-Q02-u-s1,claude-sonnet-4-6,Q02,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q02-u-s2,claude-sonnet-4-6,Q02,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,44,4,9.6e-05,A
r1-m0-Q02-u-s3,claude-sonnet-4-6,Q02,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q06-l-s0,claude-sonnet-4-6,Q06,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,71,4,0.000137,B
r1-m0-Q06-l-s1,claude-sonnet-4-6,Q06,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,71,4,0.000137,A
r1-m0-Q06-l-s2,claude-sonnet-4-6,Q06,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,71,4,0.000137,B
r1-m0-Q06-l-s3,claude-sonnet-4-6,Q06,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,71,4,0.000137,B
r1-m0-Q06-u-s0,claude-sonnet-4-6,Q06,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,56,4,0.000114,B
r1-m0-Q06-u-s1,claude-sonnet-4-6,Q06,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,56,4,0.000114,A
r1-m0-Q06-u-s2,claude-sonnet-4-6,Q06,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,56,4,0.000114,B
r1-m0-Q06-u-s3,claude-sonnet-4-6,Q06,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,56,4,0.000114,A
r1-m0-Q12-l-s0,claude-sonnet-4-6,Q12,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,60,4,0.00012,B
r1-m0-Q12-l-s1,claude-sonnet-4-6,Q12,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,60,4,0.00012,A
r1-m0-Q12-l-s2,claude-sonnet-4-6,Q12,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,60,4,0.00012,B
r1-m0-Q12-l-s3,claude-sonnet-4-6,Q12,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,60,4,0.00012,A
r1-m0-Q12-u-s0,claude-sonnet-4-6,Q12,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,45,4,9.7e-05,B
r1-m0-Q12-u-s1,claude-sonnet-4-6,Q12,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,45,4,9.7e-05,A
r1-m0-Q12-u-s2,claude-sonnet-4-6,Q12,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,45,4,9.7e-05,B
r1-m0-Q12-u-s3,claude-sonnet-4-6,Q12,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,45,4,9.7e-05,A
r1-m0-Q17-l-s0,claude-sonnet-4-6,Q17,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,68,4,0.000132,B
r1-m0-Q17-l-s1,claude-sonnet-4-6,Q17,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,68,4,0.000132,A
r1-m0-Q17-l-s2,claude-sonnet-4-6,Q17,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,68,4,0.000132,B
r1-m0-Q17-l-s3,claude-sonnet-4-6,Q17,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,68,4,0.000132,A
r1-m0-Q17-u-s0,claude-sonnet-4-6,Q17,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,53,4,0.00011,B
r1-m0-Q17-u-s1,claude-sonnet-4-6,Q17,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,53,4,0.00011,A
r1-m0-Q17-u-s2,claude-sonnet-4-6,Q17,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,53,4,0.00011,B
r1-m0-Q17-u-s3,claude-sonnet-4-6,Q17,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,53,4,0.00011,A
r1-m0-Q21-l-s0,claude-sonnet-4-6,Q21,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,54,4,0.000111,A
r1-m0-Q21-l-s1,claude-sonnet-4-6,Q21,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,54,4,0.000111,B
r1-m0-Q21-l-s2,claude-sonnet-4-6,Q21,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,54,4,0.000111,A
r1-m0-Q21-l-s3,claude-sonnet-4-6,Q21,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,54,4,0.000111,B
r1-m0-Q21-u-s0,claude-sonnet-4-6,Q21,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,39,4,8.8e-05,A
r1-m0-Q21-u-s1,claude-sonnet-4-6,Q21,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,39,4,8.8e-05,B
r1-m0-Q21-u-s2,claude-sonnet-4-6,Q21,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,39,4,8.8e-05,A
r1-m0-Q21-u-s3,claude-sonnet-4-6,Q21,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,39,4,8.8e-05,B
r1-m0-Q26-l-s0,claude-sonnet-4-6,Q26,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,64,4,0.000126,A
r1-m0-Q26-l-s1,claude-sonnet-4-6,Q26,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,64,4,0.000126,B
r1-m0-Q26-l-s2,claude-sonnet-4-6,Q26,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,64,4,0.000126,A
r1-m0-Q26-l-s3,claude-sonnet-4-6,Q26,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,64,4,0.000126,B
r1-m0-Q26-u-s0,claude-sonnet-4-6,Q26,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,49,4,0.000103,A
r1-m0-Q26-u-s1,claude-sonnet-4-6,Q26,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,49,4,0.000103,B
r1-m0-Q26-u-s2,claude-sonnet-4-6,Q26,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,49,4,0.000103,A
r1-m0-Q26-u-s3,claude-sonnet-4-6,Q26,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,49,4,0.000103,B
r1-m0-Q31-l-s0,claude-sonnet-4-6,Q31,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,54,4,0.000111,B
r1-m0-Q31-l-s1,claude-sonnet-4-6,Q31,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,54,4,0.000111,B
r1-m0-Q31-l-s2,claude-sonnet-4-6,Q31,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,54,4,0.000111,B
r1-m0-Q31-l-s3,claude-sonnet-4-6,Q31,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,54,4,0.000111,B
r1-m0-Q31-u-s0,claude-sonnet-4-6,Q31,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,39,4,8.8e-05,B
r1-m0-Q31-u-s1,claude-sonnet-4-6,Q31,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,39,4,8.8e-05,B
r1-m0-Q31-u-s2,claude-sonnet-4-6,Q31,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,39,4,8.8e-05,B
r1-m0-Q31-u-s3,claude-sonnet-4-6,Q31,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,39,4,8.8e-05,B
r1-m0-Q37-l-s0,claude-sonnet-4-6,Q37,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q37-l-s1,claude-sonnet-4-6,Q37,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q37-l-s2,claude-sonnet-4-6,Q37,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q37-l-s3,claude-sonnet-4-6,Q37,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-sonnet-4-6,59,4,0.000118,A
r1-m0-Q37-u-s0,claude-sonnet-4-6,Q37,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q37-u-s1,claude-sonnet-4-6,Q37,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q37-u-s2,claude-sonnet-4-6,Q37,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q37-u-s3,claude-sonnet-4-6,Q37,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,44,4,9.6e-05,B
r1-m0-Q41-l-s0,claude-sonnet-4-6,Q41,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,57,4,0.000116,B
r1-m0-Q41-l-s1,claude-sonnet-4-6,Q41,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,57,4,0.000116,B
r1-m0-Q41-l-s2,claude-sonnet-4-6,Q41,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,57,4,0.000116,B
r1-m0-Q41-l-s3,claude-sonnet-4-6,Q41,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-sonnet-4-6,57,4,0.000116,B
r1-m0-Q41-u-s0,claude-sonnet-4-6,Q41,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-sonnet-4-6,42,4,9.3e-05,B
