custom_id,model,item,framing,sample,order,condition,initial_choice,flipped,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r2-m0-R01-l-s0-nr,claude-fable-5,R01,labeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,113,25,0.00119,A
r2-m0-R01-l-s0-wr,claude-fable-5,R01,labeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,130,43,0.001725,A
r2-m0-R01-l-s1-nr,claude-fable-5,R01,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,113,27,0.00124,B
r2-m0-R01-l-s1-wr,claude-fable-5,R01,labeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,130,36,0.00155,B
r2-m0-R01-l-s2-nr,claude-fable-5,R01,labeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,113,21,0.00109,A
r2-m0-R01-l-s2-wr,claude-fable-5,R01,labeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,130,38,0.0016,A
r2-m0-R01-l-s3-nr,claude-fable-5,R01,labeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,113,47,0.00174,B
r2-m0-R01-l-s3-wr,claude-fable-5,R01,labeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,130,27,0.001325,B
r2-m0-R01-u-s0-nr,claude-fable-5,R01,unlabeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,92,60,0.00196,A
r2-m0-R01-u-s0-wr,claude-fable-5,R01,unlabeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,109,69,0.00227,A
r2-m0-R01-u-s1-nr,claude-fable-5,R01,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,92,45,0.001585,B
r2-m0-R01-u-s1-wr,claude-fable-5,R01,unlabeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,109,49,0.00177,B
