custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-R01-l-s0,claude-fable-5,R01,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-fable-5,71,3,0.00043,A
r1-m0-R01-l-s1,claude-fable-5,R01,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-fable-5,71,3,0.00043,B
r1-m0-R01-l-s2,claude-fable-5,R01,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-fable-5,71,3,0.00043,A
r1-m0-R01-l-s3,claude-fable-5,R01,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-fable-5,71,3,0.00043,B
r1-m0-R01-u-s0,claude-fable-5,R01,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-fable-5,50,3,0.000325,A
r1-m0-R01-u-s1,claude-fable-5,R01,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-fable-5,50,10,0.0005,B
r1-m0-R01-u-s2,claude-fable-5,R01,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-fable-5,50,3,0.000325,A
r1-m0-R01-u-s3,claude-fable-5,R01,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-fable-5,50,10,0.0005,B
r1-m0-R11-l-s0,claude-fable-5,R11,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-fable-5,79,3,0.00047,B
r1-m0-R11-l-s1,claude-fable-5,R11,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-fable-5,79,3,0.00047,B
r1-m0-R11-l-s2,claude-fable-5,R11,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-fable-5,79,3,0.00047,B
r1-m0-R11-l-s3,claude-fable-5,R11,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-fable-5,79,3,0.00047,B
r1-m0-R11-u-s0,claude-fable-5,R11,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-fable-5,58,3,0.000365,B
r1-m0-R11-u-s1,claude-fable-5,R11,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-fable-5,58,10,0.00054,B
r1-m0-R11-u-s2,claude-fable-5,R11,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-fable-5,58,10,0.00054,B
r1-m0-R11-u-s3,claude-fable-5,R11,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-fable-5,58,16,0.00069,B
r1-m0-R17-l-s0,claude-fable-5,R17,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-fable-5,75,3,0.00045,A
r1-m0-R17-l-s1,claude-fable-5,R17,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-fable-5,75,3,0.00045,B
