custom_id,model,item,framing,sample,order,condition,initial_choice,flipped,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r2-m0-R01-l-s0-nr,claude-fable-5,R01,labeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,113,26,0.001215,A
r2-m0-R01-l-s0-wr,claude-fable-5,R01,labeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,130,35,0.001525,A
r2-m0-R01-l-s1-nr,claude-fable-5,R01,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,113,31,0.00134,B
r2-m0-R01-l-s1-wr,claude-fable-5,R01,labeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,130,40,0.00165,B
r2-m0-R01-l-s2-nr,claude-fable-5,R01,labeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,113,35,0.00144,A
r2-m0-R01-l-s2-wr,claude-fable-5,R01,labeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,130,70,0.0024,A
r2-m0-R01-l-s3-nr,claude-fable-5,R01,labeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,113,27,0.00124,B
r2-m0-R01-l-s3-wr,claude-fable-5,R01,labeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,130,20,0.00115,B
r2-m0-R01-u-s0-nr,claude-fable-5,R01,unlabeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,92,74,0.00231,A
r2-m0-R01-u-s0-wr,claude-fable-5,R01,unlabeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,109,38,0.001495,A
r2-m0-R01-u-s1-nr,claude-fable-5,R01,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,92,38,0.00141,B
r2-m0-R01-u-s1-wr,claude-fable-5,R01,unlabeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,109,54,0.001895,B
r2-m0-R01-u-s2-nr,claude-fable-5,R01,unlabeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,92,44,0.00156,A
r2-m0-R01-u-s2-wr,claude-fable-5,R01,unlabeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,109,80,0.002545,A
r2-m0-R01-u-s3-nr,claude-fable-5,R01,unlabeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,92,57,0.001885,B
r2-m0-R01-u-s3-wr,claude-fable-5,R01,unlabeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,109,49,0.00177,B
r2-m0-R11-l-s0-nr,claude-fable-5,R11,labeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,119,42,0.001645,B
r2-m0-R11-l-s0-wr,claude-fable-5,R11,labeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,135,46,0.001825,B
r2-m0-R11-l-s1-nr,claude-fable-5,R11,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,122,11,0.000885,B
r2-m0-R11-l-s1-wr,claude-fable-5,R11,labeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,142,11,0.000985,B
r2-m0-R11-l-s2-nr,claude-fable-5,R11,labeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,119,34,0.001445,B
r2-m0-R11-l-s2-wr,claude-fable-5,R11,labeled,2,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,135,53,0.002,B
r2-m0-R11-l-s3-nr,claude-fable-5,R11,labeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,122,11,0.000885,B
r2-m0-R11-l-s3-wr,claude-fable-5,R11,labeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,142,14,0.00106,B
r2-m0-R11-u-s0-nr,claude-fable-5,R11,unlabeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,98,38,0.00144,B
r2-m0-R11-u-s0-wr,claude-fable-5,R11,unlabeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,114,61,0.002095,B
r2-m0-R11-u-s1-nr,claude-fable-5,R11,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,101,29,0.00123,B
r2-m0-R11-u-s1-wr,claude-fable-5,R11,unlabeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,121,30,0.001355,B
r2-m0-R11-u-s2-nr,claude-fable-5,R11,unlabeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,98,44,0.00159,B
r2-m0-R11-u-s2-wr,claude-fable-5,R11,unlabeled,2,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,114,43,0.001645,B
r2-m0-R11-u-s3-nr,claude-fable-5,R11,unlabeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,101,28,0.001205,B
r2-m0-R11-u-s3-wr,claude-fable-5,R11,unlabeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,121,16,0.001005,B
r2-m0-R17-l-s0-nr,claude-fable-5,R17,labeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,113,43,0.00164,A
r2-m0-R17-l-s0-wr,claude-fable-5,R17,labeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,135,67,0.00235,A
r2-m0-R17-l-s1-nr,claude-fable-5,R17,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,113,17,0.00099,B
r2-m0-R17-l-s1-wr,claude-fable-5,R17,labeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-fable-5,135,38,0.001625,A
r2-m0-R17-l-s2-nr,claude-fable-5,R17,labeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,113,33,0.00139,A
r2-m0-R17-l-s2-wr,claude-fable-5,R17,labeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,135,43,0.00175,A
r2-m0-R17-l-s3-nr,claude-fable-5,R17,labeled,3,BA,no_reason,b,0,ok,succeeded,end_turn,A,b,claude-fable-5,114,32,0.00137,A
r2-m0-R17-l-s3-wr,claude-fable-5,R17,labeled,3,BA,with_reason,b,0,ok,succeeded,end_turn,A,b,claude-fable-5,130,65,0.002275,A
r2-m0-R17-u-s0-nr,claude-fable-5,R17,unlabeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,92,38,0.00141,A
r2-m0-R17-u-s0-wr,claude-fable-5,R17,unlabeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,114,65,0.002195,A
r2-m0-R17-u-s1-nr,claude-fable-5,R17,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,92,40,0.00146,B
r2-m0-R17-u-s1-wr,claude-fable-5,R17,unlabeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,114,51,0.001845,B
r2-m0-R17-u-s2-nr,claude-fable-5,R17,unlabeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,92,41,0.001485,A
r2-m0-R17-u-s2-wr,claude-fable-5,R17,unlabeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-fable-5,114,57,0.001995,A
r2-m0-R17-u-s3-nr,claude-fable-5,R17,unlabeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,92,47,0.001635,B
r2-m0-R17-u-s3-wr,claude-fable-5,R17,unlabeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-fable-5,114,35,0.001445,B
r2-m0-R22-l-s0-nr,claude-fable-5,R22,labeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,130,11,0.000925,B
r2-m0-R22-l-s0-wr,claude-fable-5,R22,labeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,144,85,0.002845,B
r2-m0-R22-l-s1-nr,claude-fable-5,R22,labeled,1,BA,no_reason,b,0,ok,succeeded,end_turn,A,b,claude-fable-5,130,17,0.001075,A
r2-m0-R22-l-s1-wr,claude-fable-5,R22,labeled,1,BA,with_reason,b,0,ok,succeeded,end_turn,A,b,claude-fable-5,144,54,0.00207,A
r2-m0-R22-l-s2-nr,claude-fable-5,R22,labeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-fable-5,130,11,0.000925,B
