custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-R01-l-s0,claude-opus-4-6,R01,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-l-s1,claude-opus-4-6,R01,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-l-s2,claude-opus-4-6,R01,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-l-s3,claude-opus-4-6,R01,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-u-s0,claude-opus-4-6,R01,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,42,4,0.000155,A
r1-m0-R01-u-s1,claude-opus-4-6,R01,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,42,4,0.000155,B
r1-m0-R01-u-s2,claude-opus-4-6,R01,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,42,4,0.000155,A
r1-m0-R01-u-s3,claude-opus-4-6,R01,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,42,4,0.000155,B
r1-m0-R05-l-s0,claude-opus-4-6,R05,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,55,4,0.000188,A
r1-m0-R05-l-s1,claude-opus-4-6,R05,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,55,4,0.000188,B
r1-m0-R05-l-s2,claude-opus-4-6,R05,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,55,4,0.000188,A
r1-m0-R05-l-s3,claude-opus-4-6,R05,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,55,4,0.000188,B
r1-m0-R05-u-s0,claude-opus-4-6,R05,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,40,4,0.00015,A
r1-m0-R05-u-s1,claude-opus-4-6,R05,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,40,4,0.00015,B
r1-m0-R05-u-s2,claude-opus-4-6,R05,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,40,4,0.00015,A
r1-m0-R05-u-s3,claude-opus-4-6,R05,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,40,4,0.00015,B
r1-m0-R07-l-s0,claude-opus-4-6,R07,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,60,4,0.0002,A
r1-m0-R07-l-s1,claude-opus-4-6,R07,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,60,4,0.0002,A
r1-m0-R07-l-s2,claude-opus-4-6,R07,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,60,4,0.0002,A
r1-m0-R07-l-s3,claude-opus-4-6,R07,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,60,4,0.0002,A
