custom_id,model,item,framing,sample,order,condition,initial_choice,flipped,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r2-m0-R01-l-s0-nr,claude-opus-4-6,R01,labeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,94,4,0.000285,B
r2-m0-R01-l-s0-wr,claude-opus-4-6,R01,labeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,105,4,0.000313,B
r2-m0-R01-l-s1-nr,claude-opus-4-6,R01,labeled,1,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,93,4,0.000282,B
r2-m0-R01-l-s1-wr,claude-opus-4-6,R01,labeled,1,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,108,4,0.00032,B
r2-m0-R01-l-s2-nr,claude-opus-4-6,R01,labeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,94,4,0.000285,B
r2-m0-R01-l-s2-wr,claude-opus-4-6,R01,labeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,105,4,0.000313,B
r2-m0-R01-l-s3-nr,claude-opus-4-6,R01,labeled,3,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,93,4,0.000282,B
r2-m0-R01-l-s3-wr,claude-opus-4-6,R01,labeled,3,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,108,4,0.00032,B
r2-m0-R01-u-s0-nr,claude-opus-4-6,R01,unlabeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,79,4,0.000247,B
r2-m0-R01-u-s0-wr,claude-opus-4-6,R01,unlabeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,90,4,0.000275,B
r2-m0-R01-u-s1-nr,claude-opus-4-6,R01,unlabeled,1,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,79,4,0.000247,A
r2-m0-R01-u-s1-wr,claude-opus-4-6,R01,unlabeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,90,4,0.000275,A
r2-m0-R01-u-s2-nr,claude-opus-4-6,R01,unlabeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,79,4,0.000247,B
r2-m0-R01-u-s2-wr,claude-opus-4-6,R01,unlabeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,90,4,0.000275,B
r2-m0-R01-u-s3-nr,claude-opus-4-6,R01,unlabeled,3,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,79,4,0.000247,A
r2-m0-R01-u-s3-wr,claude-opus-4-6,R01,unlabeled,3,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,90,4,0.000275,A
r2-m0-R05-l-s0-nr,claude-opus-4-6,R05,labeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,92,4,0.00028,B
r2-m0-R05-l-s0-wr,claude-opus-4-6,R05,labeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,104,4,0.00031,B
r2-m0-R05-l-s1-nr,claude-opus-4-6,R05,labeled,1,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,92,4,0.00028,A
r2-m0-R05-l-s1-wr,claude-opus-4-6,R05,labeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,104,4,0.00031,A
r2-m0-R05-l-s2-nr,claude-opus-4-6,R05,labeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,92,4,0.00028,B
r2-m0-R05-l-s2-wr,claude-opus-4-6,R05,labeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,104,4,0.00031,B
r2-m0-R05-l-s3-nr,claude-opus-4-6,R05,labeled,3,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,92,4,0.00028,A
r2-m0-R05-l-s3-wr,claude-opus-4-6,R05,labeled,3,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,104,4,0.00031,A
r2-m0-R05-u-s0-nr,claude-opus-4-6,R05,unlabeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,77,4,0.000243,B
