custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-R01-l-s0,claude-opus-4-6,R01,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-l-s1,claude-opus-4-6,R01,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-l-s2,claude-opus-4-6,R01,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-l-s3,claude-opus-4-6,R01,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,57,4,0.000192,A
r1-m0-R01-u-s0,claude-opus-4-6,R01,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,42,4,0.000155,A
r1-m0-R01-u-s1,claude-opus-4-6,R01,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,42,4,0.000155,B
r1-m0-R01-u-s2,claude-opus-4-6,R01,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,42,4,0.000155,A
r1-m0-R01-u-s3,claude-opus-4-6,R01,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,42,4,0.000155,B
r1-m0-R11-l-s0,claude-opus-4-6,R11,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,60,4,0.0002,A
r1-m0-R11-l-s1,claude-opus-4-6,R11,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,60,4,0.0002,B
r1-m0-R11-l-s2,claude-opus-4-6,R11,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,60,4,0.0002,B
r1-m0-R11-l-s3,claude-opus-4-6,R11,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,60,4,0.0002,B
r1-m0-R11-u-s0,claude-opus-4-6,R11,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,45,4,0.000162,B
r1-m0-R11-u-s1,claude-opus-4-6,R11,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,45,4,0.000162,B
r1-m0-R11-u-s2,claude-opus-4-6,R11,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,45,4,0.000162,B
r1-m0-R11-u-s3,claude-opus-4-6,R11,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,45,4,0.000162,B
r1-m0-R17-l-s0,claude-opus-4-6,R17,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-R17-l-s1,claude-opus-4-6,R17,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,59,4,0.000198,B
r1-m0-R17-l-s2,claude-opus-4-6,R17,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-R17-l-s3,claude-opus-4-6,R17,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,59,4,0.000198,B
