custom_id,model,item,framing,sample,order,condition,initial_choice,flipped,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r2-m0-Q02-l-s0-nr,claude-opus-4-6,Q02,labeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,95,4,0.000287,A
r2-m0-Q02-l-s0-wr,claude-opus-4-6,Q02,labeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,114,4,0.000335,A
r2-m0-Q02-l-s1-nr,claude-opus-4-6,Q02,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,95,4,0.000287,B
r2-m0-Q02-l-s1-wr,claude-opus-4-6,Q02,labeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,114,4,0.000335,B
r2-m0-Q02-l-s2-nr,claude-opus-4-6,Q02,labeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,95,4,0.000287,A
r2-m0-Q02-l-s2-wr,claude-opus-4-6,Q02,labeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,114,4,0.000335,A
r2-m0-Q02-l-s3-nr,claude-opus-4-6,Q02,labeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,95,4,0.000287,B
r2-m0-Q02-l-s3-wr,claude-opus-4-6,Q02,labeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,114,4,0.000335,B
r2-m0-Q02-u-s0-nr,claude-opus-4-6,Q02,unlabeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s0-wr,claude-opus-4-6,Q02,unlabeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q02-u-s1-nr,claude-opus-4-6,Q02,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s1-wr,claude-opus-4-6,Q02,unlabeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q02-u-s2-nr,claude-opus-4-6,Q02,unlabeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s2-wr,claude-opus-4-6,Q02,unlabeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q02-u-s3-nr,claude-opus-4-6,Q02,unlabeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s3-wr,claude-opus-4-6,Q02,unlabeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q04-l-s0-nr,claude-opus-4-6,Q04,labeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,93,4,0.000282,A
r2-m0-Q04-l-s0-wr,claude-opus-4-6,Q04,labeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,106,4,0.000315,B
r2-m0-Q04-l-s1-nr,claude-opus-4-6,Q04,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,93,4,0.000282,B
r2-m0-Q04-l-s1-wr,claude-opus-4-6,Q04,labeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,106,4,0.000315,A
r2-m0-Q04-l-s2-nr,claude-opus-4-6,Q04,labeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,93,4,0.000282,A
r2-m0-Q04-l-s2-wr,claude-opus-4-6,Q04,labeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,106,4,0.000315,B
r2-m0-Q04-l-s3-nr,claude-opus-4-6,Q04,labeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,93,4,0.000282,B
r2-m0-Q04-l-s3-wr,claude-opus-4-6,Q04,labeled,3,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,106,4,0.000315,A
r2-m0-Q04-u-s0-nr,claude-opus-4-6,Q04,unlabeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,78,4,0.000245,B
r2-m0-Q04-u-s0-wr,claude-opus-4-6,Q04,unlabeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,91,4,0.000278,B
r2-m0-Q04-u-s1-nr,claude-opus-4-6,Q04,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,78,4,0.000245,B
r2-m0-Q04-u-s1-wr,claude-opus-4-6,Q04,unlabeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,91,4,0.000278,A
r2-m0-Q04-u-s2-nr,claude-opus-4-6,Q04,unlabeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,78,4,0.000245,B
r2-m0-Q04-u-s2-wr,claude-opus-4-6,Q04,unlabeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,91,4,0.000278,B
r2-m0-Q04-u-s3-nr,claude-opus-4-6,Q04,unlabeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,78,4,0.000245,B
r2-m0-Q04-u-s3-wr,claude-opus-4-6,Q04,unlabeled,3,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,91,4,0.000278,A
r2-m0-Q05-l-s0-nr,claude-opus-4-6,Q05,labeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,122,4,0.000355,B
r2-m0-Q05-l-s0-wr,claude-opus-4-6,Q05,labeled,0,AB,with_reason,b,1,ok,succeeded,end_turn,A,a,claude-opus-4-6,133,4,0.000382,A
r2-m0-Q05-l-s1-nr,claude-opus-4-6,Q05,labeled,1,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,122,4,0.000355,B
r2-m0-Q05-l-s1-wr,claude-opus-4-6,Q05,labeled,1,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,133,4,0.000382,B
r2-m0-Q05-l-s2-nr,claude-opus-4-6,Q05,labeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,122,4,0.000355,B
r2-m0-Q05-l-s2-wr,claude-opus-4-6,Q05,labeled,2,AB,with_reason,b,1,ok,succeeded,end_turn,A,a,claude-opus-4-6,133,4,0.000382,A
r2-m0-Q05-l-s3-nr,claude-opus-4-6,Q05,labeled,3,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,122,4,0.000355,B
r2-m0-Q05-l-s3-wr,claude-opus-4-6,Q05,labeled,3,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,133,4,0.000382,B
r2-m0-Q05-u-s0-nr,claude-opus-4-6,Q05,unlabeled,0,AB,no_reason,b,1,ok,succeeded,end_turn,A,a,claude-opus-4-6,107,4,0.000318,A
r2-m0-Q05-u-s0-wr,claude-opus-4-6,Q05,unlabeled,0,AB,with_reason,b,1,ok,succeeded,end_turn,A,a,claude-opus-4-6,118,4,0.000345,A
r2-m0-Q05-u-s1-nr,claude-opus-4-6,Q05,unlabeled,1,BA,no_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,108,4,0.00032,A
r2-m0-Q05-u-s1-wr,claude-opus-4-6,Q05,unlabeled,1,BA,with_reason,a,1,ok,succeeded,end_turn,A,b,claude-opus-4-6,123,4,0.000358,A
