custom_id,model,item,framing,sample,order,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r1-m0-Q02-l-s0,claude-opus-4-6,Q02,labeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q02-l-s1,claude-opus-4-6,Q02,labeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,59,4,0.000198,B
r1-m0-Q02-l-s2,claude-opus-4-6,Q02,labeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,59,4,0.000198,A
r1-m0-Q02-l-s3,claude-opus-4-6,Q02,labeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,59,4,0.000198,B
r1-m0-Q02-u-s0,claude-opus-4-6,Q02,unlabeled,0,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,44,4,0.00016,A
r1-m0-Q02-u-s1,claude-opus-4-6,Q02,unlabeled,1,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,44,4,0.00016,B
r1-m0-Q02-u-s2,claude-opus-4-6,Q02,unlabeled,2,AB,ok,succeeded,end_turn,A,a,claude-opus-4-6,44,4,0.00016,A
r1-m0-Q02-u-s3,claude-opus-4-6,Q02,unlabeled,3,BA,ok,succeeded,end_turn,B,a,claude-opus-4-6,44,4,0.00016,B
r1-m0-Q06-l-s0,claude-opus-4-6,Q06,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,71,4,0.000228,B
r1-m0-Q06-l-s1,claude-opus-4-6,Q06,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,71,4,0.000228,A
r1-m0-Q06-l-s2,claude-opus-4-6,Q06,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,71,4,0.000228,B
r1-m0-Q06-l-s3,claude-opus-4-6,Q06,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,71,4,0.000228,A
r1-m0-Q06-u-s0,claude-opus-4-6,Q06,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,56,4,0.00019,B
r1-m0-Q06-u-s1,claude-opus-4-6,Q06,unlabeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,56,4,0.00019,A
r1-m0-Q06-u-s2,claude-opus-4-6,Q06,unlabeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,56,4,0.00019,B
r1-m0-Q06-u-s3,claude-opus-4-6,Q06,unlabeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,56,4,0.00019,A
r1-m0-Q12-l-s0,claude-opus-4-6,Q12,labeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,60,4,0.0002,B
r1-m0-Q12-l-s1,claude-opus-4-6,Q12,labeled,1,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,60,4,0.0002,A
r1-m0-Q12-l-s2,claude-opus-4-6,Q12,labeled,2,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,60,4,0.0002,B
r1-m0-Q12-l-s3,claude-opus-4-6,Q12,labeled,3,BA,ok,succeeded,end_turn,A,b,claude-opus-4-6,60,4,0.0002,A
r1-m0-Q12-u-s0,claude-opus-4-6,Q12,unlabeled,0,AB,ok,succeeded,end_turn,B,b,claude-opus-4-6,45,4,0.000162,B
