custom_id,model,item,framing,sample,order,condition,initial_choice,flipped,status,result_type,stop_reason,letter,choice,model_returned,input_tokens,output_tokens,cost_usd,text
r2-m0-Q02-l-s0-nr,claude-opus-4-6,Q02,labeled,0,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,95,4,0.000287,A
r2-m0-Q02-l-s0-wr,claude-opus-4-6,Q02,labeled,0,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,114,4,0.000335,A
r2-m0-Q02-l-s1-nr,claude-opus-4-6,Q02,labeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,95,4,0.000287,B
r2-m0-Q02-l-s1-wr,claude-opus-4-6,Q02,labeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,114,4,0.000335,B
r2-m0-Q02-l-s2-nr,claude-opus-4-6,Q02,labeled,2,AB,no_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,95,4,0.000287,A
r2-m0-Q02-l-s2-wr,claude-opus-4-6,Q02,labeled,2,AB,with_reason,a,0,ok,succeeded,end_turn,A,a,claude-opus-4-6,114,4,0.000335,A
r2-m0-Q02-l-s3-nr,claude-opus-4-6,Q02,labeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,95,4,0.000287,B
r2-m0-Q02-l-s3-wr,claude-opus-4-6,Q02,labeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,114,4,0.000335,B
r2-m0-Q02-u-s0-nr,claude-opus-4-6,Q02,unlabeled,0,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s0-wr,claude-opus-4-6,Q02,unlabeled,0,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q02-u-s1-nr,claude-opus-4-6,Q02,unlabeled,1,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s1-wr,claude-opus-4-6,Q02,unlabeled,1,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q02-u-s2-nr,claude-opus-4-6,Q02,unlabeled,2,AB,no_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s2-wr,claude-opus-4-6,Q02,unlabeled,2,AB,with_reason,a,1,ok,succeeded,end_turn,B,b,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q02-u-s3-nr,claude-opus-4-6,Q02,unlabeled,3,BA,no_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,80,4,0.00025,B
r2-m0-Q02-u-s3-wr,claude-opus-4-6,Q02,unlabeled,3,BA,with_reason,a,0,ok,succeeded,end_turn,B,a,claude-opus-4-6,99,4,0.000298,B
r2-m0-Q06-l-s0-nr,claude-opus-4-6,Q06,labeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,112,4,0.00033,B
r2-m0-Q06-l-s0-wr,claude-opus-4-6,Q06,labeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,126,4,0.000365,B
r2-m0-Q06-l-s1-nr,claude-opus-4-6,Q06,labeled,1,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,112,4,0.00033,B
r2-m0-Q06-l-s1-wr,claude-opus-4-6,Q06,labeled,1,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,126,4,0.000365,B
r2-m0-Q06-l-s2-nr,claude-opus-4-6,Q06,labeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,112,4,0.00033,B
r2-m0-Q06-l-s2-wr,claude-opus-4-6,Q06,labeled,2,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,126,4,0.000365,B
r2-m0-Q06-l-s3-nr,claude-opus-4-6,Q06,labeled,3,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,112,4,0.00033,B
r2-m0-Q06-l-s3-wr,claude-opus-4-6,Q06,labeled,3,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,126,4,0.000365,B
r2-m0-Q06-u-s0-nr,claude-opus-4-6,Q06,unlabeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,97,4,0.000293,B
r2-m0-Q06-u-s0-wr,claude-opus-4-6,Q06,unlabeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,111,4,0.000327,B
r2-m0-Q06-u-s1-nr,claude-opus-4-6,Q06,unlabeled,1,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,97,4,0.000293,B
r2-m0-Q06-u-s1-wr,claude-opus-4-6,Q06,unlabeled,1,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,111,4,0.000327,B
r2-m0-Q06-u-s2-nr,claude-opus-4-6,Q06,unlabeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,97,4,0.000293,B
r2-m0-Q06-u-s2-wr,claude-opus-4-6,Q06,unlabeled,2,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,111,4,0.000327,B
r2-m0-Q06-u-s3-nr,claude-opus-4-6,Q06,unlabeled,3,BA,no_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,97,4,0.000293,B
r2-m0-Q06-u-s3-wr,claude-opus-4-6,Q06,unlabeled,3,BA,with_reason,b,1,ok,succeeded,end_turn,B,a,claude-opus-4-6,111,4,0.000327,B
r2-m0-Q12-l-s0-nr,claude-opus-4-6,Q12,labeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,96,4,0.00029,B
r2-m0-Q12-l-s0-wr,claude-opus-4-6,Q12,labeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,111,4,0.000327,B
r2-m0-Q12-l-s1-nr,claude-opus-4-6,Q12,labeled,1,BA,no_reason,b,0,ok,succeeded,end_turn,A,b,claude-opus-4-6,96,4,0.00029,A
r2-m0-Q12-l-s1-wr,claude-opus-4-6,Q12,labeled,1,BA,with_reason,b,0,ok,succeeded,end_turn,A,b,claude-opus-4-6,111,4,0.000327,A
r2-m0-Q12-l-s2-nr,claude-opus-4-6,Q12,labeled,2,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,96,4,0.00029,B
r2-m0-Q12-l-s2-wr,claude-opus-4-6,Q12,labeled,2,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,111,4,0.000327,B
r2-m0-Q12-l-s3-nr,claude-opus-4-6,Q12,labeled,3,BA,no_reason,b,0,ok,succeeded,end_turn,A,b,claude-opus-4-6,96,4,0.00029,A
r2-m0-Q12-l-s3-wr,claude-opus-4-6,Q12,labeled,3,BA,with_reason,b,0,ok,succeeded,end_turn,A,b,claude-opus-4-6,111,21,0.00054,A
r2-m0-Q12-u-s0-nr,claude-opus-4-6,Q12,unlabeled,0,AB,no_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,81,4,0.000253,B
r2-m0-Q12-u-s0-wr,claude-opus-4-6,Q12,unlabeled,0,AB,with_reason,b,0,ok,succeeded,end_turn,B,b,claude-opus-4-6,96,4,0.00029,B
r2-m0-Q12-u-s1-nr,claude-opus-4-6,Q12,unlabeled,1,BA,no_reason,b,0,ok,succeeded,end_turn,A,b,claude-opus-4-6,81,4,0.000253,A
r2-m0-Q12-u-s1-wr,claude-opus-4-6,Q12,unlabeled,1,BA,with_reason,b,0,ok,succeeded,end_turn,A,b,claude-opus-4-6,96,25,0.000553,A
